ID;Name;MeanCrop;CorMeanCrop;DevFB;Rank;Wet;StoFrep1;StoFrep2;Hrep1;Hrep2;Dis%BasRot;Dis%WhRot;Dis%CrRot;EvRestrep1;EvRustrep2;RstGrrep1;RstGrrep2;OilCrop(%);OilCrop(cwt/ha); EvStem;EvTotal;OleicAcid%;Comments
1;BRIO;33.98;35.32;0.00;63;14.825;69;70;140;155;;;;7;7;5;8;;;;;;
2;AM08*X*RL42(TUNIKA);38.69;37.42;2.11;40;10.855;64;65;145;170;;;;5;6;3;5;;;;;;
3;AM08*X*R10/-1231;40.58;39.94;4.62;20;13.525;67;68;160;170;;;;8;8;5;7;;;;;;
4;AM08*X*RCM//R6-6312;39.88;40.27;4.95;18;12.34;68;69;175;170;;;;5;4;5;6;;;;;;
5;AM08*X*R1;36.44;34.21;-1.11;76;13.645;68;69;175;175;;;;7;7;7;7;;;;;;
6;AM08*X*Rdlf;36.09;35.14;-0.18;66;10.88;66;67;175;170;;;;5;6;5;5;;;;;;
7;AHO33*X*4K738/R6-1211;36.02;36.66;1.34;47;18.775;74;73;180;165;;;;5;5;7;7;;;;;;
8;AHO33*X*4K738/R6-4111;41.75;40.99;5.67;12;11.655;72;73;175;160;;;;7;6;5;5;;;;;;
9;AHO33*X*RCM//R6-8211;32.26;33.47;-1.84;81;13.02;71;72;165;160;;;;3;5;4;5;;;;;;
10;AHO33*X*R1;39.44;39.70;4.38;22;15.555;69;70;175;165;;;;5;7;7;7;;;;;;
11;AHO33*X*R-dlf;33.88;34.21;-1.11;77;9.845;67;68;170;170;;;;3;5;7;6;;;;;;
12;AHO33*X*R-fob;47.99;47.49;12.17;1;11.86;70;71;175;175;;;;3;6;8;8;;;;;;
13;AP83*X*R1;40.63;40.57;5.25;16;15.29;70;71;170;165;;;;7;8;8;8;;;;;;
14;AM32/36*X*R-dlf;34.58;35.61;0.29;61;10.59;67;68;175;180;;;;5;6;8;8;;;;;;
15;AM32/36*X*R1;36.63;35.68;0.36;60;16.57;69;71;180;175;;;;5;8;8;8;;;;;;
16;AM32/36*X*R-fob;35.75;35.76;0.44;58;12.655;71;72;180;175;;;;5;7;8;8;;;;;;
17;AM32/36*X*RF12;37.64;36.82;1.50;44;12.51;71;71;180;160;;;;6;7;8;9;;;;;;
18;AM40*X*4K738/R6-821;29.37;28.92;-6.40;97;16.1;71;72;170;165;;;;6;8;6;5;;;;;;
19;AM08*X*RCM///R6-3121;40.93;40.17;4.85;19;12.465;68;67;170;170;;;;5;4;5;5;;;;;;
20;AM08*X*4K738/R6-4111;35.74;35.23;-0.08;65;12.805;69;68;160;160;;;;7;7;7;6;;;;;;
